time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-31 01:54:05,Pasillo Administrativo,56.7,Background Noise,40.5,40.5,0.0,0.0,100.0,0.0,0.0,40.3,40.3,40.3,-113,2.0
2026-01-31 01:54:35,Salón - Extremo,52.2,Background Noise,46.3,46.3,0.0,0.0,100.0,0.0,0.0,40.1,40.7,50.6,-94,13.8
2026-01-31 01:55:38,Pasillo de Laboratorio,52.5,Background Noise,43.8,43.9,40.4,0.0,99.7,0.3,0.0,40.0,40.4,50.0,-87,13.5
2026-01-31 01:55:50,Main Lobby,40.2,Background Noise,40.2,40.2,0.0,0.0,100.0,0.0,0.0,40.1,40.1,40.2,-89,13.5
2026-01-31 01:56:43,Pasillo de Salones,55.0,Background Noise,50.2,50.2,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.5,-88,14.0
2026-01-31 01:56:44,Salón - Uma,62.8,Background Noise,56.4,56.4,55.8,0.0,97.0,3.0,0.0,53.7,55.9,58.4,-104,7.5
2026-01-31 01:59:05,Pasillo Administrativo,58.6,Background Noise,58.5,58.5,0.0,0.0,100.0,0.0,0.0,58.5,58.5,58.5,-114,-3.8
2026-01-31 01:59:35,Salón - Extremo,53.3,Background Noise,46.4,46.4,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.5,-89,13.5
2026-01-31 02:00:38,Pasillo de Laboratorio,51.2,Background Noise,44.9,44.9,40.5,0.0,99.8,0.2,0.0,40.1,40.6,50.6,-86,13.8
2026-01-31 02:00:51,Main Lobby,40.4,Background Noise,40.1,40.1,0.0,0.0,100.0,0.0,0.0,40.0,40.1,40.4,-90,13.0
2026-01-31 02:01:43,Pasillo de Salones,55.2,Background Noise,50.1,50.1,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.5,-89,14.0
2026-01-31 02:01:47,Salón - Uma,61.5,Background Noise,56.4,56.4,56.1,0.0,97.0,3.0,0.0,53.7,56.0,58.3,-105,9.3
2026-01-31 02:04:05,Pasillo Administrativo,58.5,Background Noise,58.4,58.4,0.0,0.0,100.0,0.0,0.0,58.4,58.4,58.4,-117,-5.5
2026-01-31 02:04:35,Salón - Extremo,52.2,Background Noise,45.9,45.9,0.0,0.0,100.0,0.0,0.0,40.1,40.5,50.6,-92,13.8
2026-01-31 02:05:38,Pasillo de Laboratorio,52.1,Background Noise,45.5,45.5,45.2,0.0,99.6,0.4,0.0,40.1,40.5,50.5,-86,11.8
2026-01-31 02:05:51,Main Lobby,50.8,Background Noise,40.6,40.6,40.1,0.0,99.8,0.2,0.0,40.0,40.2,40.7,-89,11.8
2026-01-31 02:06:43,Pasillo de Salones,55.5,Background Noise,50.1,50.1,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.6,-88,13.8
2026-01-31 02:06:44,Salón - Uma,61.4,Background Noise,56.6,56.6,56.3,0.0,97.7,2.2,0.0,53.8,56.3,58.5,-102,11.0
2026-01-31 02:09:08,Pasillo Administrativo,55.1,Background Noise,53.6,53.6,53.6,0.0,99.8,0.2,0.0,53.6,53.6,53.6,-111,3.0
2026-01-31 02:09:35,Salón - Extremo,52.3,Background Noise,46.2,46.2,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.7,-91,13.8
2026-01-31 02:10:38,Pasillo de Laboratorio,51.7,Background Noise,44.9,44.9,40.3,0.0,99.3,0.7,0.0,40.1,40.5,50.6,-85,14.3
2026-01-31 02:10:51,Main Lobby,40.6,Background Noise,40.4,40.4,0.0,0.0,100.0,0.0,0.0,40.1,40.4,40.6,-89,14.5
2026-01-31 02:11:43,Pasillo de Salones,54.7,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.5,-88,13.8
2026-01-31 02:11:44,Salón - Uma,61.8,Background Noise,56.4,56.4,56.4,0.0,98.1,1.9,0.0,53.6,56.0,58.4,-105,8.5
2026-01-31 02:14:05,Pasillo Administrativo,58.4,Background Noise,58.4,58.4,0.0,0.0,100.0,0.0,0.0,58.4,58.4,58.4,-114,1.0
2026-01-31 02:14:36,Salón - Extremo,52.7,Background Noise,46.2,46.2,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.6,-91,11.3
2026-01-31 02:15:38,Pasillo de Laboratorio,53.1,Background Noise,44.6,44.6,41.0,0.0,99.9,0.1,0.0,40.1,40.6,50.4,-85,14.3
2026-01-31 02:15:51,Main Lobby,40.9,Background Noise,40.5,40.5,0.0,0.0,100.0,0.0,0.0,40.2,40.4,40.9,-90,13.0
2026-01-31 02:16:43,Pasillo de Salones,56.5,Background Noise,50.1,50.1,0.0,0.0,100.0,0.0,0.0,40.3,50.7,52.4,-88,14.0
2026-01-31 02:16:47,Salón - Uma,65.4,Background Noise,56.4,56.4,56.8,0.0,97.3,2.7,0.0,53.6,56.0,58.4,-97,12.8
2026-01-31 02:19:05,Pasillo Administrativo,53.7,Background Noise,52.0,52.0,52.0,0.0,99.8,0.2,0.0,52.0,52.0,52.0,-115,-1.0
2026-01-31 02:19:36,Salón - Extremo,52.8,Background Noise,46.6,46.6,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.8,-91,13.5
2026-01-31 02:20:38,Pasillo de Laboratorio,51.5,Background Noise,44.2,44.2,40.3,0.0,99.6,0.4,0.0,40.1,40.5,50.1,-86,14.0
